difficulty,category,xp_reward,user_streak,category_familiarity,completed
Epic,Health,496,2,0.68,0
Easy,Mind,64,29,0.2029,1
Medium,Strength,125,18,0.7456,1
Hard,Mind,264,0,0.9956,1
Medium,Mind,130,11,0.6657,1
Epic,Intellect,513,6,0.4935,0
Epic,Mind,505,3,0.9232,1
Easy,Discipline,68,9,0.0159,1
Medium,Discipline,116,12,0.7299,1
Easy,Intellect,59,1,0.8887,0
Easy,Endurance,59,9,0.0617,1
Easy,Strength,73,20,0.4501,1
Medium,Strength,126,21,0.2047,1
Medium,Mind,132,24,0.5665,1
Easy,Mind,58,3,0.6495,0
Easy,Endurance,71,17,0.3026,1
Epic,Mind,504,4,0.46,0
Easy,Strength,74,18,0.2793,1
Easy,Health,60,1,0.3694,1
Medium,Discipline,128,11,0.1595,1
Epic,Health,505,16,0.8856,0
Easy,Health,65,9,0.01,0
Medium,Strength,132,1,0.8824,1
Hard,Health,262,5,0.5717,1
Easy,Endurance,65,7,0.3317,1
Hard,Intellect,256,28,0.7231,1
Medium,Mind,119,18,0.5078,1
Medium,Intellect,123,10,0.4991,1
Medium,Discipline,123,24,0.1101,1
Medium,Mind,124,11,0.3895,1
Easy,Health,73,8,0.2411,0
Hard,Discipline,245,1,0.0157,1
Easy,Mind,61,7,0.3601,1
Easy,Endurance,58,25,0.0898,1
Easy,Endurance,55,10,0.2568,1
Medium,Endurance,129,27,0.0925,1
Medium,Endurance,122,20,0.1009,1
Easy,Health,66,3,0.199,1
Medium,Intellect,132,9,0.9998,1
Easy,Mind,69,20,0.0022,1
Medium,Health,131,19,0.6387,1
Easy,Endurance,68,15,0.1412,1
Medium,Intellect,128,7,0.9206,1
Medium,Discipline,132,3,0.0936,1
Epic,Discipline,514,28,0.9551,1
Easy,Discipline,72,9,0.6109,1
Easy,Endurance,70,11,0.0013,1
Easy,Discipline,55,28,0.894,1
Epic,Strength,505,13,0.5217,1
Hard,Mind,259,15,0.2627,1
Easy,Mind,66,21,0.7673,1
Medium,Endurance,122,17,0.9267,1
Hard,Strength,264,20,0.4837,0
Medium,Health,120,21,0.3156,1
Medium,Health,117,20,0.7889,1
Easy,Discipline,67,11,0.6818,1
Easy,Intellect,67,17,0.8888,0
Hard,Health,246,29,0.6925,0
Epic,Intellect,499,6,0.2435,0
Medium,Mind,131,19,0.9317,1
Easy,Intellect,60,23,0.1048,1
Easy,Mind,56,22,0.2679,1
Hard,Strength,248,6,0.5202,0
Hard,Strength,255,8,0.5657,0
Hard,Endurance,252,0,0.0153,0
Hard,Endurance,256,25,0.7806,0
Medium,Discipline,122,5,0.3616,0
Easy,Health,65,5,0.4064,1
Easy,Discipline,74,21,0.8094,1
Hard,Mind,252,28,0.3793,1
Medium,Discipline,122,11,0.0472,1
Easy,Intellect,71,21,0.1764,1
Easy,Mind,74,11,0.9559,0
Medium,Endurance,134,9,0.0704,0
Easy,Strength,70,22,0.3549,1
Easy,Endurance,68,29,0.5032,1
Medium,Health,125,25,0.4933,1
Medium,Mind,121,5,0.004,1
Medium,Mind,130,16,0.5012,1
Easy,Intellect,67,18,0.3838,1
Hard,Health,259,17,0.9721,1
Easy,Strength,70,5,0.1592,1
Easy,Mind,63,23,0.3542,1
Hard,Mind,247,18,0.4195,1
Medium,Intellect,133,9,0.3907,1
Hard,Discipline,264,23,0.6658,1
Medium,Strength,119,7,0.2155,1
Medium,Endurance,124,20,0.2211,1
Easy,Health,71,23,0.7292,1
Medium,Mind,129,5,0.5003,1
Easy,Mind,62,20,0.4152,1
Easy,Endurance,69,24,0.1692,1
Epic,Strength,508,29,0.1875,1
Medium,Discipline,134,6,0.0106,1
Hard,Mind,251,23,0.0914,1
Medium,Strength,126,0,0.5568,0
Hard,Endurance,261,26,0.8919,1
Medium,Intellect,131,17,0.2872,1
Medium,Discipline,124,23,0.3277,1
Medium,Health,133,27,0.1156,1
Easy,Mind,68,24,0.3886,0
Hard,Strength,255,19,0.0372,1
Easy,Intellect,56,11,0.9176,1
Easy,Health,72,15,0.6731,1
Medium,Strength,121,9,0.9907,1
Easy,Strength,66,26,0.8828,1
Epic,Health,496,9,0.473,1
Epic,Intellect,514,13,0.5197,1
Epic,Endurance,512,24,0.1906,0
Medium,Intellect,120,19,0.462,1
Easy,Discipline,64,9,0.903,1
Epic,Mind,514,9,0.0509,0
Medium,Health,129,25,0.8636,1
Epic,Endurance,499,24,0.3409,1
Epic,Health,514,10,0.8995,0
Hard,Health,247,22,0.9409,1
Easy,Intellect,59,1,0.6709,1
Medium,Mind,122,24,0.6644,1
Hard,Discipline,252,19,0.4528,1
Easy,Strength,62,7,0.8355,1
Easy,Strength,66,29,0.9616,1
Medium,Health,122,22,0.7751,1
Epic,Mind,505,28,0.6219,1
Medium,Endurance,128,6,0.6068,1
Medium,Intellect,122,7,0.8495,1
Easy,Mind,64,0,0.5412,1
Medium,Mind,121,20,0.8039,1
Epic,Intellect,511,1,0.5089,1
Easy,Health,58,17,0.0624,1
Medium,Mind,127,14,0.3839,1
Hard,Strength,248,0,0.4444,0
Hard,Intellect,249,4,0.1416,1
Medium,Endurance,118,1,0.1025,0
Hard,Discipline,262,19,0.5355,1
Medium,Health,120,2,0.0851,0
Easy,Intellect,56,18,0.3029,1
Hard,Discipline,255,17,0.7446,1
Hard,Discipline,258,28,0.9644,1
Hard,Endurance,249,21,0.7179,1
Epic,Mind,500,17,0.9926,1
Medium,Endurance,124,13,0.6983,1
Medium,Mind,122,29,0.2938,1
Hard,Mind,258,23,0.6721,0
Medium,Intellect,117,7,0.7022,1
Hard,Intellect,256,28,0.3717,1
Hard,Health,260,29,0.0177,1
Hard,Mind,261,11,0.7032,1
Easy,Discipline,55,20,0.0217,1
Medium,Strength,124,9,0.6312,1
Easy,Health,64,22,0.1636,1
Medium,Intellect,116,19,0.5656,1
Easy,Endurance,63,16,0.5039,1
Medium,Health,127,10,0.0135,0
Medium,Health,130,1,0.3629,0
Easy,Health,72,25,0.6011,1
Medium,Health,133,25,0.8486,1
Easy,Strength,66,3,0.8886,0
Easy,Endurance,62,0,0.4838,1
Hard,Endurance,261,14,0.7284,0
Medium,Endurance,129,12,0.3165,0
Easy,Mind,64,7,0.3422,0
Medium,Discipline,129,24,0.1945,1
Hard,Endurance,259,3,0.5619,1
Easy,Health,61,9,0.3146,1
Medium,Health,127,18,0.0844,1
Easy,Endurance,71,17,0.685,1
Easy,Endurance,63,4,0.7078,1
Medium,Health,122,29,0.36,1
Medium,Mind,134,18,0.0767,1
Medium,Intellect,132,25,0.4263,1
Hard,Intellect,257,22,0.4423,1
Epic,Endurance,510,26,0.6687,1
Medium,Strength,123,21,0.3154,1
Easy,Endurance,66,15,0.6826,1
Hard,Endurance,256,0,0.8715,0
Easy,Intellect,60,11,0.2375,1
Medium,Health,133,23,0.9789,1
Easy,Endurance,61,1,0.3864,1
Easy,Health,57,20,0.2673,1
Epic,Health,510,24,0.4215,1
Hard,Strength,262,7,0.0944,1
Medium,Health,130,17,0.1257,1
Medium,Intellect,121,24,0.4144,1
Easy,Mind,58,15,0.7624,1
Easy,Mind,62,4,0.9003,1
Easy,Discipline,67,25,0.6648,1
Medium,Endurance,127,29,0.1052,1
Hard,Intellect,261,21,0.672,1
Medium,Health,131,12,0.6354,1
Easy,Mind,59,18,0.8058,1
Epic,Intellect,500,28,0.8252,0
Hard,Mind,263,2,0.8682,1
Medium,Health,127,25,0.4141,1
Medium,Mind,128,7,0.6979,0
Medium,Endurance,118,26,0.2683,1
Easy,Endurance,61,25,0.9993,1
Medium,Discipline,122,25,0.1753,0
Hard,Discipline,257,11,0.0101,0
Easy,Mind,60,1,0.1488,1
Easy,Intellect,60,10,0.7759,1
Easy,Endurance,57,11,0.4468,1
Easy,Intellect,57,27,0.4475,1
Hard,Intellect,257,17,0.955,0
Hard,Mind,246,12,0.9196,1
Medium,Intellect,130,4,0.3112,1
Easy,Endurance,60,21,0.2091,0
Medium,Health,122,11,0.8485,1
Medium,Discipline,122,1,0.906,1
Easy,Health,60,4,0.5416,1
Medium,Intellect,128,6,0.6294,1
Medium,Health,117,25,0.2569,1
Medium,Endurance,124,25,0.8008,1
Medium,Endurance,117,23,0.6321,0
Easy,Intellect,66,11,0.5035,1
Medium,Mind,131,15,0.0601,1
Medium,Health,119,22,0.9159,1
Medium,Mind,134,7,0.6155,1
Hard,Mind,253,29,0.1927,1
Medium,Strength,134,27,0.6064,1
Easy,Intellect,61,8,0.6775,1
Easy,Discipline,58,14,0.5258,1
Medium,Endurance,127,4,0.7181,1
Easy,Endurance,67,12,0.5815,1
Medium,Intellect,124,4,0.9478,1
Epic,Discipline,512,10,0.0537,1
Medium,Endurance,131,9,0.1062,1
Medium,Intellect,134,19,0.1737,1
Medium,Endurance,134,12,0.6902,1
Medium,Mind,127,8,0.6456,1
Medium,Health,131,20,0.8921,1
Epic,Health,498,13,0.7329,1
Medium,Endurance,115,17,0.5084,1
Epic,Strength,495,14,0.9918,0
Epic,Discipline,509,9,0.2661,1
Easy,Discipline,67,23,0.8332,1
Easy,Discipline,71,6,0.4268,0
Easy,Mind,62,7,0.6487,1
Easy,Discipline,72,27,0.7273,0
Easy,Health,67,2,0.6338,1
Medium,Mind,128,14,0.1405,1
Easy,Intellect,62,15,0.443,1
Easy,Discipline,62,3,0.5614,1
Hard,Discipline,259,20,0.849,1
Easy,Intellect,67,5,0.4436,1
Hard,Discipline,251,0,0.9187,0
Easy,Intellect,59,3,0.4404,1
Easy,Mind,71,10,0.5488,1
Medium,Health,130,11,0.7963,1
Medium,Intellect,116,25,0.5831,1
Hard,Strength,262,28,0.9602,1
Hard,Intellect,261,4,0.6603,0
Hard,Discipline,251,22,0.5227,0
Easy,Mind,67,28,0.0236,1
Easy,Endurance,72,20,0.4137,1
Hard,Mind,258,15,0.2992,1
Hard,Endurance,262,12,0.7481,1
Epic,Intellect,507,12,0.2083,1
Medium,Health,125,16,0.2052,0
Medium,Strength,130,26,0.1895,1
Hard,Mind,261,6,0.1256,0
Easy,Discipline,62,7,0.311,0
Epic,Endurance,513,12,0.8859,0
Hard,Discipline,264,22,0.7749,1
Medium,Health,129,26,0.7353,1
Hard,Endurance,253,15,0.7973,1
Hard,Mind,264,29,0.2694,1
Easy,Intellect,64,28,0.8874,1
Epic,Discipline,506,3,0.1373,0
Medium,Health,134,7,0.3363,0
Hard,Mind,245,15,0.5867,1
Easy,Mind,74,20,0.1029,1
Hard,Mind,253,9,0.7301,1
Medium,Mind,129,24,0.3872,1
Easy,Endurance,55,11,0.7844,1
Epic,Mind,506,11,0.4929,0
Easy,Discipline,57,25,0.1809,1
Easy,Health,65,4,0.7348,1
Epic,Endurance,496,15,0.2521,1
Epic,Mind,510,0,0.4908,1
Medium,Strength,123,27,0.0755,1
Medium,Strength,129,8,0.6179,1
Medium,Health,126,11,0.6659,1
Easy,Intellect,55,4,0.3787,1
Easy,Intellect,67,21,0.9544,1
Medium,Endurance,128,19,0.8742,1
Hard,Endurance,252,21,0.7079,1
Hard,Endurance,252,27,0.7137,1
Hard,Intellect,256,23,0.2524,1
Easy,Strength,55,2,0.6568,1
Medium,Intellect,125,4,0.1982,1
Easy,Discipline,62,1,0.144,1
Medium,Mind,124,13,0.9995,1
Medium,Endurance,133,1,0.6224,0
Hard,Strength,255,12,0.431,1
Medium,Health,121,6,0.2882,1
Easy,Health,65,9,0.6039,1
Easy,Mind,71,12,0.0496,1
Hard,Strength,245,15,0.0947,1
Medium,Intellect,122,25,0.0329,1
Easy,Intellect,60,13,0.4992,1
Easy,Discipline,72,10,0.6006,1
Hard,Discipline,250,9,0.0625,0
Easy,Intellect,59,5,0.7212,1
Hard,Health,257,3,0.2304,0
Hard,Endurance,263,20,0.6852,1
Easy,Health,62,0,0.9819,1
Easy,Discipline,63,6,0.6911,1
Epic,Mind,511,23,0.8832,0
Medium,Intellect,117,8,0.9482,1
Medium,Discipline,133,7,0.4868,1
Hard,Discipline,255,4,0.7023,0
Epic,Endurance,511,18,0.852,1
Epic,Intellect,513,9,0.3566,1
Hard,Endurance,246,10,0.2614,1
Medium,Intellect,122,24,0.9466,0
Easy,Endurance,73,14,0.7263,1
Hard,Health,251,5,0.2197,1
Medium,Mind,131,14,0.4491,1
Medium,Mind,120,4,0.7965,1
Epic,Intellect,513,28,0.5471,0
Easy,Strength,60,18,0.65,1
Medium,Discipline,116,21,0.7538,1
Easy,Discipline,60,18,0.622,1
Medium,Intellect,119,9,0.5401,1
Easy,Endurance,73,11,0.7496,1
Easy,Strength,74,21,0.7276,1
Easy,Health,58,3,0.6299,1
Medium,Endurance,131,17,0.3598,1
Hard,Endurance,255,15,0.4058,1
Medium,Intellect,118,7,0.9704,1
Epic,Intellect,507,3,0.1124,1
Medium,Discipline,134,24,0.2685,1
Easy,Intellect,71,22,0.4924,1
Hard,Intellect,253,11,0.8367,1
Easy,Intellect,58,1,0.1637,0
Epic,Discipline,508,3,0.277,1
Easy,Health,73,4,0.0658,1
Epic,Health,497,2,0.706,0
Easy,Intellect,68,8,0.2382,0
Hard,Discipline,252,28,0.3887,0
Medium,Health,115,20,0.4437,1
Epic,Endurance,504,17,0.8913,1
Easy,Health,72,10,0.4113,1
Medium,Health,130,2,0.1452,1
Epic,Discipline,502,29,0.5243,1
Medium,Endurance,115,24,0.963,1
Medium,Discipline,126,22,0.6077,1
Medium,Intellect,122,1,0.9834,1
Medium,Mind,130,8,0.8411,0
Medium,Health,132,13,0.036,1
Medium,Mind,118,3,0.6584,1
Epic,Discipline,500,28,0.2868,0
Easy,Discipline,66,8,0.5596,1
Easy,Discipline,63,12,0.2793,1
Epic,Mind,509,17,0.3489,0
Hard,Discipline,260,14,0.9232,0
Medium,Intellect,126,27,0.2066,1
Medium,Discipline,128,9,0.8741,1
Easy,Strength,67,15,0.0305,1
Easy,Mind,56,11,0.0909,1
Medium,Strength,117,19,0.8547,1
Medium,Discipline,124,4,0.6306,1
Medium,Intellect,123,1,0.7472,1
Easy,Health,74,9,0.2094,1
Epic,Endurance,502,0,0.5371,1
Epic,Endurance,504,6,0.7372,1
Medium,Discipline,133,25,0.6273,1
Medium,Intellect,117,16,0.4717,1
Easy,Mind,59,15,0.9598,1
Hard,Strength,247,26,0.6762,1
Medium,Strength,130,26,0.9078,1
Easy,Strength,71,23,0.7298,1
Epic,Mind,509,2,0.7355,0
Hard,Endurance,247,13,0.08,1
Epic,Intellect,506,9,0.3595,0
Hard,Mind,253,21,0.8584,0
Medium,Strength,126,6,0.2326,1
Medium,Discipline,129,25,0.1155,1
Epic,Health,496,16,0.3261,1
Hard,Mind,262,29,0.2204,1
Easy,Mind,74,5,0.9253,1
Easy,Intellect,66,22,0.868,1
Medium,Intellect,118,21,0.4997,1
Hard,Mind,260,3,0.0613,0
Epic,Strength,510,16,0.7146,0
Easy,Health,55,26,0.6234,1
Medium,Intellect,116,8,0.9706,1
Medium,Strength,117,3,0.559,1
Epic,Discipline,514,6,0.3364,0
Hard,Intellect,261,22,0.519,1
Hard,Strength,264,1,0.9793,1
Medium,Strength,115,16,0.6964,1
Medium,Health,134,23,0.672,1
Easy,Health,60,7,0.2407,1
Easy,Discipline,69,22,0.7436,1
Hard,Strength,258,29,0.7503,0
Hard,Endurance,264,14,0.3173,0
Epic,Strength,509,14,0.4837,1
Epic,Health,508,7,0.2946,1
Medium,Endurance,119,15,0.2587,1
Hard,Intellect,250,18,0.0259,0
Epic,Intellect,511,10,0.2852,0
Hard,Mind,255,1,0.554,1
Easy,Health,70,22,0.0016,1
Medium,Mind,126,23,0.2832,1
Easy,Endurance,69,16,0.8814,1
Epic,Health,498,27,0.5936,1
Medium,Discipline,132,25,0.6079,0
Easy,Strength,57,15,0.4034,1
Medium,Discipline,122,24,0.6765,1
Medium,Endurance,117,14,0.1899,1
Medium,Health,122,12,0.8187,1
Easy,Endurance,72,14,0.1167,1
Medium,Strength,124,26,0.656,1
Medium,Intellect,134,3,0.3411,1
Hard,Intellect,261,15,0.7475,0
Medium,Endurance,122,29,0.5498,1
Hard,Mind,255,11,0.4524,1
Medium,Health,119,29,0.1694,1
Medium,Health,127,3,0.6368,1
Hard,Intellect,249,2,0.9748,0
Medium,Discipline,127,21,0.8256,1
Easy,Strength,60,16,0.06,1
Easy,Discipline,59,21,0.3762,1
Hard,Discipline,253,17,0.9256,1
Medium,Endurance,130,24,0.503,1
Hard,Intellect,246,17,0.6621,1
Easy,Intellect,55,22,0.9126,1
Easy,Intellect,62,27,0.8738,1
Easy,Endurance,73,16,0.5018,1
Medium,Mind,125,11,0.4376,1
Medium,Discipline,126,22,0.3397,1
Medium,Endurance,126,20,0.719,1
Medium,Health,121,23,0.287,1
Epic,Strength,507,3,0.2499,0
Easy,Mind,62,11,0.3562,1
Medium,Health,123,25,0.1772,1
Hard,Discipline,251,22,0.6951,1
Medium,Intellect,129,21,0.6162,1
Medium,Discipline,116,20,0.4829,1
Hard,Endurance,264,19,0.3903,1
Epic,Strength,506,14,0.9091,0
Easy,Endurance,55,22,0.0291,1
Epic,Mind,502,27,0.7691,1
Medium,Mind,119,15,0.9019,1
Easy,Strength,69,4,0.4464,1
Medium,Health,115,20,0.5507,1
Epic,Health,495,14,0.9445,0
Medium,Mind,124,16,0.2123,1
Easy,Mind,64,17,0.5201,1
Medium,Intellect,129,4,0.4747,1
Easy,Health,71,12,0.2584,1
Easy,Strength,60,18,0.8186,1
Easy,Health,57,29,0.8996,1
Easy,Intellect,67,12,0.7819,1
Easy,Endurance,70,17,0.1954,1
Easy,Mind,62,13,0.0867,1
Medium,Mind,129,29,0.6054,1
Easy,Intellect,71,3,0.0571,1
Easy,Strength,71,3,0.6728,1
Hard,Mind,257,19,0.5304,1
Medium,Discipline,131,19,0.6628,0
Medium,Mind,120,18,0.5902,1
Easy,Discipline,71,12,0.4227,1
Easy,Intellect,70,11,0.2009,1
Easy,Intellect,68,6,0.3057,1
Easy,Mind,67,24,0.5245,1
Easy,Health,60,11,0.6519,1
Easy,Discipline,57,20,0.7795,0
Easy,Strength,68,3,0.7672,1
Easy,Mind,68,26,0.9727,1
Medium,Strength,129,1,0.2858,0
Easy,Mind,62,1,0.0711,1
Medium,Health,129,4,0.3457,1
Medium,Health,127,22,0.7433,1
Medium,Health,131,9,0.4381,1
Easy,Endurance,57,9,0.8178,1
Hard,Health,250,8,0.5493,0
Medium,Intellect,119,12,0.9298,1
Easy,Intellect,71,6,0.9479,0
Hard,Endurance,246,4,0.0693,0
Epic,Discipline,509,25,0.4564,1
Easy,Strength,59,9,0.6097,1
Easy,Mind,74,9,0.2559,1
Hard,Mind,250,5,0.4071,0
Hard,Endurance,250,26,0.6777,1
Easy,Intellect,72,27,0.2267,1
Easy,Mind,72,18,0.602,1
Medium,Intellect,118,20,0.6974,1
Medium,Discipline,131,7,0.0905,1
Medium,Strength,128,0,0.4975,1
Medium,Discipline,128,27,0.2631,1
Medium,Endurance,127,16,0.7244,0
Hard,Health,251,6,0.1896,1
Easy,Health,66,13,0.8922,1
Easy,Health,69,20,0.4309,1
Hard,Discipline,263,29,0.198,1
Hard,Mind,255,20,0.438,0
Medium,Strength,129,16,0.4087,1
Medium,Health,126,8,0.4289,1
Easy,Endurance,57,16,0.5856,1
Medium,Endurance,131,4,0.5212,1
Medium,Health,117,25,0.1498,1
Easy,Health,73,24,0.0656,1
Easy,Strength,74,29,0.7294,0
Medium,Health,118,19,0.5597,1
Easy,Strength,57,28,0.359,0
Easy,Endurance,70,7,0.8084,1
Easy,Health,66,5,0.3881,0
Easy,Discipline,62,10,0.796,1
Easy,Discipline,71,18,0.3058,0
Hard,Endurance,251,3,0.0728,1
Medium,Strength,125,17,0.9326,1
Medium,Discipline,132,0,0.3946,1
Hard,Strength,245,12,0.7927,1
Medium,Discipline,117,13,0.2791,1
Easy,Discipline,58,23,0.6464,1
Medium,Strength,127,0,0.8733,1
Medium,Mind,120,29,0.0416,1
Hard,Discipline,258,28,0.8306,1
Medium,Health,119,10,0.5713,1
Easy,Endurance,70,16,0.6075,1
Easy,Mind,69,3,0.5232,1
Medium,Strength,129,25,0.8745,1
Medium,Mind,118,11,0.0434,1
Medium,Intellect,122,9,0.261,0
Medium,Intellect,130,5,0.8758,0
Epic,Discipline,510,24,0.7523,0
Medium,Discipline,118,0,0.0176,0
Easy,Health,67,6,0.517,1
Easy,Endurance,67,25,0.5296,1
Easy,Mind,56,26,0.4009,1
Easy,Intellect,57,20,0.2974,1
Easy,Discipline,62,27,0.6817,1
Easy,Endurance,69,15,0.2078,1
Easy,Mind,65,23,0.7989,1
Easy,Discipline,63,13,0.803,1
Hard,Discipline,251,22,0.4153,0
Easy,Intellect,67,19,0.2835,1
Medium,Intellect,116,19,0.2839,1
Medium,Discipline,122,5,0.4823,1
Epic,Strength,501,21,0.7196,1
Easy,Discipline,66,24,0.3589,1
Medium,Endurance,133,27,0.61,1
Epic,Discipline,501,4,0.3825,1
Hard,Health,254,23,0.3045,1
Hard,Health,260,20,0.0249,1
Easy,Health,57,17,0.0039,1
Easy,Strength,64,14,0.2272,1
Medium,Strength,120,5,0.4064,1
Epic,Discipline,512,24,0.8513,0
Medium,Health,132,28,0.7985,1
Medium,Strength,119,18,0.2672,1
Easy,Intellect,61,0,0.2445,1
Hard,Discipline,246,0,0.2273,1
Easy,Endurance,65,12,0.3392,1
Easy,Mind,67,2,0.4982,1
Medium,Discipline,119,9,0.4387,1
Medium,Mind,120,20,0.2183,1
Easy,Health,68,2,0.1305,1
Easy,Mind,66,8,0.0126,1
Medium,Health,118,7,0.154,1
Easy,Intellect,60,2,0.7054,1
Medium,Mind,124,24,0.2436,1
Easy,Discipline,72,12,0.4686,1
Medium,Health,129,5,0.5913,0
Medium,Discipline,122,12,0.8868,1
Easy,Strength,63,22,0.8889,1
Easy,Health,59,19,0.7457,1
Easy,Mind,64,19,0.0352,1
Easy,Health,74,11,0.5751,1
Epic,Discipline,500,12,0.7866,0
Easy,Intellect,70,1,0.0173,1
Hard,Health,247,20,0.5497,1
Easy,Mind,64,23,0.8578,1
Medium,Strength,125,22,0.4741,1
Hard,Endurance,255,15,0.0041,1
Medium,Intellect,131,22,0.011,1
Medium,Strength,118,5,0.4166,1
Medium,Health,118,18,0.155,0
Easy,Discipline,71,20,0.6645,1
Epic,Discipline,503,12,0.7088,1
Hard,Mind,263,16,0.1779,1
Epic,Discipline,499,22,0.8885,1
Easy,Intellect,60,8,0.4419,1
Hard,Discipline,247,16,0.1428,1
Epic,Mind,495,28,0.7643,1
Easy,Endurance,74,1,0.79,1
Easy,Health,70,18,0.6393,1
Hard,Health,255,18,0.8535,1
